location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,price_per_meter
Московская область,sale,flat,2,44,1,31.61,14381127.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,2027,-1.0,Монолитный,-1.0,"Без отделки, предчистовая","9,4 м²",-1,454954.9826004429
Московская область,sale,flat,22,25,1,33.3,5350000.0,Пролетарский,Театральный проспект,,,Панорама на Театральном,2026,-1.0,-1,-1.0,Черновая,-1,-1,160660.66066066068
Московская область,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ,2023,-1.0,-1,-1.0,-1,60 м²,20 м²,457244.6555819477
Московская область,sale,flat,16,24,3,91.0,22800000.0,Южное Бутово,Скобелевская ,5К1,Улица Скобелевская,,-1,-1.0,-1,-1.0,-1,45 м²,12 м²,250549.45054945056
Московская область,sale,flat,3,18,2,48.5,35800507.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028,-1.0,Монолитный,-1.0,"Без отделки, чистовая",-1,-1,738154.7835051547
Московская область,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,,2005,-1.0,-1,-1.0,-1,-1,15 м²,934782.6086956522
Московская область,sale,flat,2,5,3,207.4,435330900.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas,2015,-1.0,-1,-1.0,-1,-1,20 м²,2098991.8032786883
Московская область,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ,2023,-1.0,-1,-1.0,-1,60 м²,20 м²,457244.6555819477
Московская область,sale,flat,16,24,3,91.0,22800000.0,Южное Бутово,Скобелевская ,5К1,Улица Скобелевская,,-1,-1.0,-1,-1.0,-1,45 м²,12 м²,250549.45054945056
Москва,sale,flat,14,18,4,138.5,158765458.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028,-1.0,Монолитный,-1.0,"Без отделки, чистовая",-1,-1,1146320.9963898917
Москва,sale,flat,3,9,4,130.0,205000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021,-1.0,-1,-1.0,-1,-1,10 м²,1576923.076923077
Москва,sale,flat,3,20,4,102.4,18953124.0,,,3,Филатов Луг,Город-парк Первый Московский,2027,-1.0,"Панельный, монолитный",-1.0,"Без отделки, чистовая","47,4 м²",-1,185089.1015625
Москва,sale,flat,59,67,4,131.0,137550000.0,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers,-1,-1.0,-1,-1.0,-1,-1,15 м²,1050000.0
Москва,sale,flat,11,17,1,37.6,10800000.0,, Бориса Пастернака,49,Мичуринец,,2019,-1.0,-1,-1.0,-1,-1,"9,1 м²",287234.0425531915
Москва,sale,flat,10,14,1,35.1,11250000.0,Чертаново Северное,Чертановская ,7К2,Южная,,1969,-1.0,-1,-1.0,-1,-1,9 м²,320512.8205128205
Москва,sale,flat,46,53,1,47.4,21396170.0,Свиблово,проезд Серебрякова,11-13к1,Ботанический сад,Afi Tower,2024,-1.0,Монолитно-кирпичный,-1.0,"Предчистовая, чистовая",-1,-1,451395.99156118144
Москва,sale,flat,3,5,1,46.3,41670000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,-1,-1.0,-1,-1.0,-1,32 м²,-1,900000.0
Москва,sale,flat,4,5,1,33.0,9800000.0,Восточное Измайлово,11-я Парковая ,34,Первомайская,,-1,-1.0,-1,-1.0,-1,20 м²,9 м²,296969.69696969696
Москва,sale,flat,2,59,4,94.9,,Можайский,,,Давыдково,Веер ЖК,2028,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"54,6 м²",-1,
Москва,sale,flat,2,59,4,94.9,,Можайский,,,Давыдково,Веер ЖК,2028,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"54,6 м²",-1,
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,-1,-1.0,-1,-1.0,-1,12 м²,32 м²,585492.2279792746
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,-1,-1.0,-1,-1.0,-1,12 м²,32 м²,585492.2279792746
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,-1,-1.0,-1,-1.0,-1,12 м²,32 м²,585492.2279792746
Москва,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023,-1.0,-1,-1.0,-1,109 м²,10 м²,1046077.2104607722
Москва,sale,flat,13,16,4,158.0,180000000.0,Раменки,Воробьевское шоссе,4С1,Поклонная,Воробьёв Дом,2017,-1.0,-1,-1.0,-1,109 м²,15 м²,1139240.5063291139
Москва,sale,flat,43,47,3,79.1,32036687.0,Обручевский,,,Воронцовская,Архитектор ЖК,2024,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, чистовая","39,8 м²","17,8 м²",405015.00632111257
